Year,Catch,Effort,CPUE,Date,Data_text,First_day,Time
2021,0,6,0,2021/5/26,2021/5/26,2021/5/1,25
2021,0,6,0,2021/6/9,2021/6/9,2021/5/1,39
2021,2,6,0.333333333,2021/6/15,2021/6/15,2021/5/1,45
2021,1,6,0.166666667,2021/6/21,2021/6/21,2021/5/1,51
2020,0,6,0,2020/5/14,2020/5/14,2020/5/1,13
2020,0,6,0,2020/5/20,2020/5/20,2020/5/1,19
2020,0,6,0,2020/5/26,2020/5/26,2020/5/1,25
2020,0,6,0,2020/6/1,2020/6/1,2020/5/1,31
2020,1,6,0.166666667,2020/6/9,2020/6/9,2020/5/1,39
2020,0,6,0,2020/6/17,2020/6/17,2020/5/1,47
2020,0,6,0,2020/6/24,2020/6/24,2020/5/1,54
2019,7,7,1,2019/5/29,2019/5/29,2019/5/1,28
2019,3,14,0.214285714,2019/6/6,2019/6/6,2019/5/1,36
2019,1,7,0.142857143,2019/6/11,2019/6/11,2019/5/1,41
2019,2,10,0.2,2019/6/17,2019/6/17,2019/5/1,47
2019,0,7,0,2019/6/26,2019/6/26,2019/5/1,56
2018,0,7,0,2018/5/31,2018/5/31,2018/5/1,30
2018,18,14,1.285714286,2018/6/5,2018/6/5,2018/5/1,35
2018,6,13,0.461538462,2018/6/12,2018/6/12,2018/5/1,42
2018,0,7,0,2018/6/20,2018/6/20,2018/5/1,50
2018,1,7,0.142857143,2018/6/26,2018/6/26,2018/5/1,56
2017,0,7,0,2017/5/30,2017/5/30,2017/5/1,29
2017,0,7,0,2017/6/6,2017/6/6,2017/5/1,36
2017,0,12,0,2017/6/14,2017/6/14,2017/5/1,44
2017,0,6,0,2017/6/20,2017/6/20,2017/5/1,50
2017,0,7,0,2017/6/27,2017/6/27,2017/5/1,57
2016,0,12,0,2016/5/26,2016/5/26,2016/5/1,25
2016,15,7,2.142857143,2016/6/1,2016/6/1,2016/5/1,31
2016,0,7,0,2016/6/7,2016/6/7,2016/5/1,37
2016,1,7,0.142857143,2016/6/15,2016/6/15,2016/5/1,45
2016,0,7,0,2016/6/21,2016/6/21,2016/5/1,51
2016,0,6,0,2016/6/30,2016/6/30,2016/5/1,60
2015,19,12,1.583333333,2015/6/3,2015/6/3,2015/5/1,33
2015,0,12,0,2015/6/9,2015/6/9,2015/5/1,39
2015,14,6,2.333333333,2015/6/18,2015/6/18,2015/5/1,48
2015,7,6,1.166666667,2015/6/19,2015/6/19,2015/5/1,49
2015,2,7,0.285714286,2015/6/25,2015/6/25,2015/5/1,55
2015,2,7,0.285714286,2015/6/30,2015/6/30,2015/5/1,60
2015,1,6,0.166666667,2015/7/10,2015/7/10,2015/5/1,70
2014,0,6,0,2014/5/28,2014/5/28,2014/5/1,27
2014,6,7,0.857142857,2014/6/4,2014/6/4,2014/5/1,34
2014,33,6,5.5,2014/6/10,2014/6/10,2014/5/1,40
2014,26,7,3.714285714,2014/6/13,2014/6/13,2014/5/1,43
2014,9,15,0.6,2014/6/19,2014/6/19,2014/5/1,49
2014,0,6,0,2014/6/27,2014/6/27,2014/5/1,57
2013,8,12,0.666666667,2013/5/24,2013/5/24,2013/5/1,23
2013,6,12,0.5,2013/5/31,2013/5/31,2013/5/1,30
2013,13,12,1.083333333,2013/6/5,2013/6/5,2013/5/1,35
2013,27,12,2.25,2013/6/11,2013/6/11,2013/5/1,41
2013,1,15,0.066666667,2013/6/20,2013/6/20,2013/5/1,50
2013,2,12,0.166666667,2013/6/25,2013/6/25,2013/5/1,55
2012,0,10,0,2012/5/16,2012/5/16,2012/5/1,15
2012,0,10,0,2012/5/23,2012/5/23,2012/5/1,22
2012,2,12,0.166666667,2012/5/29,2012/5/29,2012/5/1,28
2012,9,14,0.642857143,2012/6/1,2012/6/1,2012/5/1,31
2012,3,8,0.375,2012/6/5,2012/6/5,2012/5/1,35
2012,45,13,3.461538462,2012/6/8,2012/6/8,2012/5/1,38
2012,9,11,0.818181818,2012/6/11,2012/6/11,2012/5/1,41
2012,20,15,1.333333333,2012/6/14,2012/6/14,2012/5/1,44
2012,0,4,0,2012/6/20,2012/6/20,2012/5/1,50
2012,0,5,0,2012/6/27,2012/6/27,2012/5/1,57
2011,0,5,0,2011/5/25,2011/5/25,2011/5/1,24
2011,2,5,0.4,2011/6/3,2011/6/3,2011/5/1,33
2011,2,9,0.222222222,2011/6/8,2011/6/8,2011/5/1,38
2011,1,5,0.2,2011/6/14,2011/6/14,2011/5/1,44
2011,0,7,0,2011/6/22,2011/6/22,2011/5/1,52
2011,0,6,0,2011/6/29,2011/6/29,2011/5/1,59
2010,5,9,0.555555556,2010/5/30,2010/5/30,2010/5/1,29
2010,5,10,0.5,2010/6/3,2010/6/3,2010/5/1,33
2010,2,4,0.5,2010/6/8,2010/6/8,2010/5/1,38
2010,3,4,0.75,2010/6/16,2010/6/16,2010/5/1,46
2010,3,6,0.5,2010/6/21,2010/6/21,2010/5/1,51
2010,0,8,0,2010/6/23,2010/6/23,2010/5/1,53
2009,0,4,0,2009/6/9,2009/6/9,2009/5/1,39
2009,1,6,0.166666667,2009/6/12,2009/6/12,2009/5/1,42
2009,10,7,1.428571429,2009/6/16,2009/6/16,2009/5/1,46
2009,1,4,0.25,2009/6/23,2009/6/23,2009/5/1,53
2009,0,4,0,2009/6/26,2009/6/26,2009/5/1,56
2008,45,6,7.5,2008/6/4,2008/6/4,2008/5/1,34
2008,90,9,10,2008/6/10,2008/6/10,2008/5/1,40
2008,3,6,0.5,2008/6/19,2008/6/19,2008/5/1,49
2008,0,5,0,2008/6/30,2008/6/30,2008/5/1,60
2007,4,4,1,2007/5/30,2007/5/30,2007/5/1,29
2007,7,4,1.75,2007/6/5,2007/6/5,2007/5/1,35
2007,4,4,1,2007/6/12,2007/6/12,2007/5/1,42
2007,2,4,0.5,2007/6/19,2007/6/19,2007/5/1,49
2007,0,4,0,2007/7/12,2007/7/12,2007/5/1,72
2007,0,4,0,2007/7/24,2007/7/24,2007/5/1,84
2006,1,6,0.166666667,2006/6/1,2006/6/1,2006/5/1,31
2006,30,5,6,2006/6/5,2006/6/5,2006/5/1,35
2006,0,6,0,2006/6/8,2006/6/8,2006/5/1,38
2006,73,7,10.42857143,2006/6/14,2006/6/14,2006/5/1,44
2006,44,4,11,2006/6/20,2006/6/20,2006/5/1,50
2006,58,6,9.666666667,2006/6/28,2006/6/28,2006/5/1,58
2006,27,6,4.5,2006/7/6,2006/7/6,2006/5/1,66
2005,0,4,0,2005/5/16,2005/5/16,2005/5/1,15
2005,46,7,6.571428571,2005/5/30,2005/5/30,2005/5/1,29
2005,2,5,0.4,2005/6/6,2005/6/6,2005/5/1,36
2005,1,7,0.142857143,2005/6/13,2005/6/13,2005/5/1,43
2005,1,1,1,2005/6/14,2005/6/14,2005/5/1,44
2005,1,5,0.2,2005/6/21,2005/6/21,2005/5/1,51
2005,1,6,0.166666667,2005/6/28,2005/6/28,2005/5/1,58
2004,2,5,0.4,2004/5/28,2004/5/28,2004/5/1,27
2004,1,4,0.25,2004/6/15,2004/6/15,2004/5/1,45
2004,0,5,0,2004/6/28,2004/6/28,2004/5/1,58
