"","Year","Estimate","SE","CV","a_par","b_par","c_par"
"1",2004,36.9878503464432,19.7061673362148,0.53277406368953,0.836947070278133,-0.375882569146622,0.660333408592324
"2",2005,55.7758925718892,20.1071489357361,0.360498918234614,0.243087957209282,-0.375882569146622,0.873380042324016
"3",2006,151.508193634754,46.3999476098564,0.306253718011544,-1.30403020509938,-0.375882569146622,1.10754072459868
"4",2007,45.9902206083259,15.9310976642274,0.346401853557174,0.959140038324203,-0.375882569146622,0.872079346234765
"5",2008,59.7012952183838,23.4301917735138,0.392457009312907,0.544183251651464,-0.375882569146622,1.13268786020464
"6",2009,36.2140731617595,15.070598904482,0.41615310261194,0.398433276294319,-0.375882569146622,0.512107845104839
"7",2010,27.1016713117086,11.3903785690679,0.420283252573688,0.359106751176362,-0.375882569146622,0.179444083851589
"8",2011,14.6542909637852,7.81420379168041,0.533236566067338,1.16555525175473,-0.375882569146622,0.0455738086645657
"9",2012,20.5491225204409,6.6071339264938,0.32152876211242,1.11538846007309,-0.375882569146622,0.349207769897809
"10",2013,39.0831358008472,12.4140515148852,0.31763192130085,0.198198410864382,-0.375882569146622,0.486245683486588
"11",2014,38.4839530161693,13.5554355405553,0.352236048486493,0.613761642226889,-0.375882569146622,0.694997100169461
"12",2015,52.3876834977077,18.310633663016,0.34952172801871,-0.709564826690102,-0.375882569146622,0.372292909845324
"13",2016,15.9496797796635,5.57385114477974,0.349464768056763,0.890300707839483,-0.375882569146622,-0.091580715674496
"14",2017,7.30278466510622,4.12536674807879,0.564903244072142,1.3239777585354,-0.375882569146622,-0.644027399491428
"15",2018,13.4501717277575,5.3459651561297,0.397464453565086,0.0617769414970979,-0.375882569146622,-0.671135224933725
"16",2019,11.4812342553465,4.3297848669469,0.377118415202673,0.0435420456974026,-0.375882569146622,-0.851244067291223
"17",2020,4.63294227119379,2.58839463204388,0.558693478254137,1.0380467651306,-0.375882569146622,-1.22345332524155
"18",2021,7.73357354321974,4.05812927654129,0.524741796772486,0.120624883276994,-0.375882569146622,-1.27640629329264
